Descriptor,Aliases,DUNS
A.R. Zim Direct Marketing Ltd.,Zim Centers|Zim Group|The Zim Group|Almost Free|Zim Direct Marketing Ltd.|شركة اي ار زيم للتسويق المباشر|A.R. Zim Real Estate Holdings Ltd.,532137643
A2D Technologies,A2D Technologies,838986776
AB Groupe SA,AB SAT|GROUPE AB SA|GROUPE AB|GROUPE AB SA ADR|Naturkanal terranova|AB GROUPE|terranova TV|terranova|AB PRODUCTIONS,394149905
ABG Shipyard Ltd,ABG Shipyard Limited|PFS Shipping India Ltd,862167822
ABM Solid SA,TRANS ENERGO SA (RADOM)|ABM Solid SA|ABM Solid|ABM-Solid,366629632
AC Bamlett Limited,AC Bamlett of Thirsk|AC Bamlett Ltd,212421614
AC Energy Inc,Juina Mining Corp|Yellow River Mining SA|Intl Brewing & Mfg Inc|International Brewing & Manufacturing Inc,048662055
"ACADEMI, LLC","Blackwater Security Consulting LLC|Blackwater Worldwide|Blackwater Lodge and Training Center|Xe Services, LLC|Xe Services LLC|Blackwater USA|U.S. Training Center, Inc.",138829747
ACADEMIA INTERNATIONAL,アカデミアインターナショナル,708090196
ACCESS TECHNOLOGY,,741147961
ACD Landscape Architects Ltd,A C D Landscape Architects Ltd,298768458
ACE Biosciences A/S,,306885554
ACF Grew,,244102950
ACHTER UND EBELS (MOENCHENGLADBACH),,315362038
ACIL Australia,,753282987
"ACT Environment, Planning and Sustainable Development Directorate",Australian Capital Territory Department of Planning and Land Authority|ACTPLA|ACT Planning and Land Authority|ACT Planning & Land Authority,889135302
ACTIVE PROTECTIVE COATINGS,,294453873
ADATA Technology Company Limited,威刚科技股份有限公司|ADATA Technology Co. Ltd.|A-Data Technology Company Limited|威剛科技股份有限公司|ADATA Technology Company Limited,658035886
ADM Hamburg AG,Oelmühle Hamburg AG|OELMUEHLE HAMBURG AG|Oelmuhle Hamburg AG,315016097
ADVANCED MANAGEMENT AND COMMUNICATIONS,,294171574
ADWORK,,
ADvTECH Ltd,Advource Holdings Ltd.|Design School of South Africa|Advantech Education Holdings Ltd.|Advsource Holdings Ltd.|Centurus Colleges|The Design School of South Africa|Monash South Africa|Mast Holdings Ltd.|Makini|University of Africa (UoA)|Centurus|Maravest Group|Advtech Education Holdings Ltd.|ADvTECH Group,639609809
AEM Inc,American Electronic Materials Inc,048004949
AES Engineering Ltd.,AV Technology|AESPUMP Ltd,213123227
AFB Bank,Azerbaijani Azfinansbank|Azfinansbank ASC|Азфинансбанк|The Azerbaijani Azfinansbank|АКБ Азфинансбанк,683524038
AFD Holdings LTD,,227945771
AGF A/S,Aarhus Gymnasik Forening Kontraktfodbold A/S|AGF Kontraktfodbold A/S|Aarhus Elite AS|AGF KONTRAKTFODBOLD AS|Arhus Elite AS,306043126
AGIMUS GmbH Umweltgutachterorganisation & Beratungsgesellschaft,,329857106
AI/ML Innovations Inc.,AI-ML Innovations Inc,204333769
AIRCRAFT MAINTENANCE CO,,869910315
AJ Cope,,210069761
AJUSTEEL Co Ltd,아주스틸(주)|Ajusteel Company Limited,694504729
AK Korvet OAO,Aktsionernaya Kompaniya Korvet AO,565669400
AKB Uralsib-Yug Bank OAO,"ОАО АКБ ""Уралсиб-Юг Банк""",366724685
ALAN A MORGAN,,231286857
ALAN CROFT AND PARTNERS (EA),,215269353
ALEKS-AGRO OOO,,
ALFRED BULLER AND COMPANY (EA),,230526238
ALL RUSSIA BANK OF BUSINESSMEN,,
ALL STARS FITNESS PRODUCTS (MUNICH),,
ALLIED METALCRAFT,,652128182
ALLOY STEEL RODS,,212378087
ALPA INDUSTRIES LTD,,210007803
ALPENAIR,,302669577
AM Gold Inc.,ASC Industries Ltd.|Acero-Martin Exploration Inc.,245428441
AM-PR Consultants Malaysia,,596363754
AMC,,863401022
AMC Alfa Metalcraft Corporation Handelsgesellschaft mbH,,316081327
AMK OOO,,
AN Grup,"Artemi Nolla Grup Gestió de Restaurants, S. L",463259189
ANANDA HOLDINGS,,686946617
ANDRAS HOUSE,,229286828
ANDREW SUMNER ASSOCIATES,ANDREW SUMNER ASSOCIATES ASA,771210531
ANFIELD PROPERTIES,,228447967
ANTHONY BRYANT,,215362232
ANTIGEN,,987329612
APCB INC,"競國實業股份有限公司|Advence Printed Circuit Board Co., Ltd|竞国实业股份有限公司|Advence Printed Circuit Board Co Ltd|APCB Inc.",656395761
APEX CONSTRUCTION,,210562553
APF Energy Trust,Great Northern Exploration Limited|Nycan Energy Corp|Alliance Energy Inc.|Hawk Oil Inc|CanScot Resources Ltd|APF ENERGY TRUST,255292104
APG SGA S.A.,,
APOLLO ENGINEERING,,239349004
APPEL AND FALK,,
APconnections Inc,,
AQT Water S.A.,Aquatech SA,422361928
ARBITRATOR,,357076728
ARBUMA UNTERNEHMENS VERW. HAMBURG,,319405320
ARC Finance Ltd,,916530301
ARGO,,655212293
ARREDAFRIGO,,444703573
ASHMERE DEVELOPMENTS,,296734262
ASIX Electronics Corp Ltd,亚信电子|亞信電子|ASIX Electronics Co Ltd,657194353
ASSOCIATED LIVESTOCK MARTS,,987512886
ASWAN DEVELOPMENT AND MINING CO,ADAMCO|شركة اسوان للتنمية والتعدين|شركة أسوان للتنمية والتعدين,552683351
ASgroupe,A.S. Groupe|Soc. AS|Soc. A.S|Societe A.S|A.S.|Societe A.S.|Soc. A.S (France)|Societe AS|A.S Groupe (France)|A.S. (France)|ASgroupe S.A.|AS Groupe (France)|A.S Groupe|A.S. Groupe (France)|AS Groupe|Soc. A.S.|Societe AS (France)|Societe A.S. (France),531778942
"AT&T Teleholdings, Inc","SBC Teleholdings, Inc|Michigan Bell Telephone Inc.|Ameritech Cellular|Ohio Bell Telephone Corp.|SBC Ameritech|Ohio Bell Telephone Co.|Primeco Personal Communications L.P.|American Information Technologies Corp.|SecurityLink|Primeco Personal Communicatoions L.P.|Ameritech Cellular and Paging|Security Link|Ameritech Corporation|Ameritech Cellular & Paging|National Guardian Corp.|Illinois Bell Telephone Co.|Indiana Bell Telephone Co.|Wisconsin Bell Inc.|Michigan Bell Telephone Co.",013558877
ATLANT-SM (Bankruptcy) OOO,,
ATM,,262807639
AUCKLAND COMMUNICATIONS,,590768784
AUSTROPA VERKEHRSBUERO,,520922159
AUV Dierenartsencooperatie U.A.,AUV Dierenartsencoöperatie U.A.|AUV Holding,404453359
AVTECH Sweden AB,,632773156
AVTOMIR-VOSTOK OOO,,
AZIZ COMPANY FOR CONTRACTING,AZIZ CO|عزيز للمقاولات والإستثمار الصناعي|عزيز للمقاولات والاستثمار الصناعي|شركة عزيز للمقاولات والإستثمار الصناعي,644689424
AZOVZERNOTORG OOO,,
Aarica Holdings Inc,,127661549
Aaswa Trading & Exports Ltd,Aaswa Trading & Exports,917619462
Abacus America Inc,Aplus.net,825010325
Abakus VC AG,,316056493
Abbott and Butlers,Abbott & Butlers,226530863
Aberdeen European Investment Trust PLC,ABERDEEN EUROPEAN INVESTMENT TST PLC|ABTRUST EUROPEAN INDEX INVESTMENT TRT PL|ABTRUST EUROPEAN INVESTMENT TST PLC,504853276
Aberdeen Global Premier Properties Fund,Alpine Global Premier Properties Fund,800334596
Abingworth Management Limited,Abingworth Bioventures,294387659
Abraxus Investments Plc,PROPERTY INTERNET PLC,237981258
Absolute Software Corp,Pole Position Software|NetMotion Software|Absolute® Software Corporation,252197835
Abu Dhabi Cooperative Society,ADCOOPS|جمعية أبوظبي التعاونية,559187602
Acadia Realty Trust,Mark Centers Trust,808720601
Acando AB,Resco AB|FRONTEC AB|FRONTEC LOGISTICS CORP|Bitec Oy|Acando Frontec|Connecta AB|Acando Denmark A/S|BlueLabs Stockholm AB|Acando AB,355507039
Access Worldwide Communications Inc,CULTURALACCESSWORLDWIDE INC|CulturalAccessWorldwide Inc.|CulturalAccess Worldwide Inc.|CULTURALACCESS WORLDWIDE|ACCESS WORLDWIDE COMMUNICATIONS INC|Cultural Access Worldwide Inc.,106733728
AccessAir,,159092253
Acciaierie Venete SpA,,437276736
Accord Textile Ltd,Accord Textiles Limited,645454349
Accra Brewery Ltd,,644887069
Acesite Philippines Hotel Corp,Acesite Hotel Corp.,718684434
Acma Computers Inc,أكما كمبيوترز|ACMA COMPUTERS INC,364095240
Acme Brick Company,,858723778
Acrometal Companies Inc,,006259089
Action Construction Equipment Ltd,SC Forma|Frested,650737364
Active-Pak Automation LLC,Active Pak Automation LLC,839860546
Acton Pharmaceuticals Inc.,,832757871
Acupath Laboratories Inc.,,155748846
AdMedia Partners Inc.,,620761437
AdOne Media Inc,,147751320
AdPads Inc,Regents Road Ltd.,111103052
Adam Spiegel Productions Limited,,
Adams Capital Management Inc.,,949038871
Adaptive Venture Managers Plc,,777505397
Adelante Technologies NV,FRONTIER DESIGN GROUP|Frontier Design NV,372981019
Adelte Airport Technologies Sl.,,
Adevinta ASA,Fotocasa|habitaclia|JobisJob|Marketplaces International ASA|Ebay Classifieds Group|PayCar SAS|Fincaraíz|PropTech PixiePixel|Tayara|Adevinta Spain|Locasun|coches.net|Avito|motos.net|Infojobs,346634016
Adfico Administratie- en Adviesburo,,415592948
Adhesive Technologies Inc,,048540231
Aditazz Inc,,
Adm Arkady Ireland Limited,,
Administracion Nacional de Usinas y Trasmisiones Electricas,URUGUAYA DE TRANSMISIONES ELECTRICAS|UTE|U T E,966081465
Admiral Boats SA,,425763095
Advance UK Trust Plc,,536336639
Advanced Micro-Fabrication Equipment Company Limited,中微半导体设备上海股份有限公司|Advanced Micro-Fabrication Equipment Company Limited|中微半導體設備上海股份有限公司|中微半導體設備股份有限公司|中微公司|AMEC|中微半导体设备(上海)股份有限公司|中微半導體設備(上海)股份有限公司|中微半导体设备股份有限公司|Advanced Micro Fabrication Equipment Company Limited,544973683
Advanced Processing & Imaging Inc.,,943148858
"Advantage Health Solutions, Inc.",,021573386
Advantis Corp.,American Corporate Investors Inc|Ramoil Management Ltd,080480766
"Aegis Realty, Inc",,002152010
Aequitas Innovations Inc,Aequitas EVO Connect|Aequitas NEO Exchange Inc,202939377
Aeris Capital AG,,483325028
Aero Performance Products Inc,BGR Corp|Aero Exhaust Inc.|Cortex Systems Inc|Franchise Capital Corporation,248379091
Aeroparts Manufacturing & Repair Inc.,,
Aerte Group plc,MID STATES UK|MidStates PLC|Mid-States Plc|Mid States PLC|DSC Holdings|Mid State Automotive Distributors|Mid States Distributing,216392894
Aethlon Medical Inc,"Aethlon Medical, Inc.|Bishop Equities Inc.|Aethlon Medical Inc.",054460865
Affco Holdings Ltd,AFFCO HLDG,590541447
AgION Technologies LLC,HealthShield Technologies LLC|Agion Technologies Inc,159955533
Agence Francaise de Developpement,AFD|Agência Francesa de Desenvolvimento (AFD)|L’AFD|Agencia Francesa para el Desarrollo|France’s Agency for Development|French agency AFD|l'Agence française de développement|Caisse Francaise de Developpement|Agenzia francese per lo sviluppo|SODERAG|French Agency for Development|French Development Agency|französische Agentur für Entwicklung|France's Development Agency,278142963
Agenus Inc,4-Antibody AG|Aronex Pharmaceuticals Inc.|Aquila Biopharmaceuticals Inc.|Antigenics Incorporated|Antigenics Inc.|PhosImmune Inc.,126130561
Agra Prelouc as,,643523251
Agro Sznajder Sp Z O O,,
Agrobiochim,,870097557
Agrokomplex-Vystavnictvo Nitra,Agrokomplex Vystavnictvo Nitra|VYSTAVNICTVI AGROKOMPLEX (NITRA),722671026
Agromec S.A. Uriu,Agromec SA Uriu|Agromec Uriu SA,365997159
Agromec SA Voinesti,,684450778
Agropromstroy Construction Company,,643231900
Agrovojvodina Elnos a.d. Novi Sad,,645241662
Agua de Carvalhelhos SA,,449126622
Agência Reguladora de Saneamento e Energia do Estado de São Paulo - Arsesp,Arsesp,911095318
Ahern & Heussner,,
Air Adriatic d.o.o.,,364770896
Air China Limited,CNAC (China)|中国国航|中國國際航空公司|國航|国航|China Southwest Airways|エアチャイナ|中航興業|Air China Ltd.|AMECO Bejing|에어 차이나|에어차이나|중국국제항공공사|チャイナナショナルアビ|中航興業有限公司|中國國際航空股份有限公司|중국 국제항공|中航兴业|中国国際航空|Aircraft Maintenance & Engineering Corporation|Air China Limited|中國國航|中国国际航空|中国国际航空股份有限公司|中國國際航空|طيران الصين|China National Aviation Company|Air China Cargo|中国国際航空公司|チャイナナショナルアビエーション|Air Macau Co,653720581
Air Guinee,,552490054
Air Norway,,730347833
AirAsia (India) Private Limited,Air Asia India|AirAsia (India) Pvt. Ltd.|AirAsia India Pvt Ltd,650772192
"Airborne Security & Protective Services, Inc.","Strike Force Team Security|Airborne Security & Protective Services, Inc.|Global Trust Security Inc|Sobik’s International Franchising Inc|Krypton Distribution Corp|Quality Restaurant Ventures Inc",009739242
Aircraft Hinge Inc.,,362949273
Aisha Steel Mills Limited,,645483942
Aizle Oy,,
Ak Kim,,628147944
Akari Therapeutics PLC,Morria Biopharmaceuticals PLC|Celsus Therapeutics|Volution Immuno Pharmaceuticals SA|Morria Biopharmaceuticals PLC ADS|Celsus Therapeutics PLC ADS|Celsus Therapeutics PLC,718700912
Akash Steel Industries Private Limited,,
Akcansa Cimento AS,CANAKKALE CIMENTO SANAYII|AKCANSA CIMENTO,628146318
Ako Barss,"""Ако Барсс груп""|ЗАО ""Ако Барсс груп""|""Ако Барсс Групп""|""Ако Барсс""",534850862
Akrion Inc,Goldfinger Technologies LLC|SCP Global Technologies Inc.|Trinity Capital Enterprise Corp|Akrion LLC|Submicron Systems Inc|Verteq Inc,098184232
Al Fara'a Group,"Al Fara'a Steel Structures|Al Fara'a Investments|Al Faraa Group|Al Faraa Integrated Construction Group|Unibeton Readymix|مجموعة الفارعة|Belgium Aluminium & Glass Industries|Al Fara'a Properties|Al Fara’a Construction, Property & Industrial Group|Al Sabbah Electromechanical|Belgium Aluminium and Glass Industries|Al Fara'a Integrated Construction Group|مجموعة الفارعة المتكاملة للإنشاءات|Al Fara'a Interiors and Joinery|Al-Faraa Group|Al Fara'a General Contracting Co LLC|Al Fara’a Construction, Property and Industrial Group",851038478
Al Hamra Hotels and Resorts Ltd,PT Alhamra Internasional|Al Hamra Hotels & Resorts Ltd.|Alhamra Hotels and Resorts Ltd|Alhamra Internasional,744100279
Al Hilal Publishing,Al Hilal Publishing and Marketing|مجموعة الهلال للنشر والتسويق|الهلال للنشر والتسويق,644597593
Al Seer Marine Supplies & Equipment PJSC,,558447119
Al Tayer Motors LLC,Premier Motors LLC|شركة الطاير للسيارات,561440442
Alabama A&M University,Universidad A&M de Alabama|Alabama A & M University|Alabama A&M University|Alabama A and M University|AAMU,079121448
Aladdin Petroleum,,006943914
Alameda Unified School District,,
Alaska Electric Light & Power Company,Alaska Energy & Resources,362948978
Alba Mineral Resources PLC,,719038072
Albert Farnell Ltd,,212046155
Alberta Livestock Transplants Ltd,,208310300
"Albertsons Companies, Inc.","Albertson's LLC|Albertson's Holdings LLC|El Rancho Inc.|American Stores Co.|Buttrey Food and Drug Stores Company|American Stores Co|شركات البرتسونس|Plated|MedCart Specialty Pharmacy|New Albertsons Inc|Albertsons Cos.|Albertsons Companies, Inc.|DineInFresh Inc.|البرتسونس كوس|Star Markets|ACME Stores|Buttrey Food & Drug Stores Company|Albertsons Inc|Shaw's Supermarkets Incorporated|Safeway Inc|JS USA Holdings Inc|Lucky Stores Inc|New Albertson's Inc|New Albertson's, Inc.",079903211
Albion Ventures LLP,Close Ventures Limited|OLIM Ltd.|C Ventures Limited|Bravo Inns Ltd,211432576
Albumprinter Beheer B.V.,MonAlbumPhoto SAS|Albelli,409964835
Alders,,750537086
Aldi GmbH & Co. Kommanditgesellschaft,,
Alembic Pharmaceuticals Ltd,Orit Laboratories LLC,650574663
Alerian Capital Management LLC,,928535579
Alert Petrogas Ltd.,,862189891
Ales K.K.,,
Alfamart Trading Philippines Inc.,,
Alfredo Arribas Arquitectos Asociados,,472898923
"Algemene Onderlinge Schadeverzekeringsmaatschappij ""Zevenwouden"" U.A.",Zevenwouden|Algemene Friese Onderlinge Schadeverzekeringmaatschappij Zevenwouden U.A.,402868582
Algerie Presse Service,وكالة الأنباء الجزائرية,850531698
Alidian Networks,,131720372
Alimex Sa,,
All-Ways Advertising Company,,
Allegheny & Western Energy,ALLEGHENY & WESTERN ENERGY|ALLEGHENY & WESTERN,039606140
Allegro Investment Corporation,Allegro Investment Fund,400796553
Allen Gwynn Chevrolet Inc.,,
Allen Telecom Inc,ALLEN TELECOM|ALLEN GROUP INC|THE ALLEN GROUP INC,042523316
Allenex AB,AbSorber AB|Olerup SSP AB|LinkMed AB|Biovator AB,631558905
Alliance Cost Containment LLC,The Cost Reduction Group|Cost Containment of Kentucky,015902912
AllianceCare Inc,Mobile Medical Industries Inc|Alliance Care Inc,176454655
Alliant Insurance Services Inc,,025329405
Allianz Global Investors GmbH,,219373615
Allied Carpets Group plc,ALLIED CARPETS GROUP LTD|ALLIED MAPLES|ALLIED CARPETS HOMEVISION|AC (U.K.) Limited,767226301
Allied Partnership Group plc,ALLIED PARTNERSHIP GROUP|ALLIED PARTNERSHIP GROUP PLC|ALLIED PLANT GROUP,212100572
Allied Properties (Hong Kong) Ltd,聯合地産(香港)有限公司|Allied Kajima Limited|Allied Properties Hong Kong Ltd.|アライドプロパティーズ|联合地产|聯合地産|新鴻基有限公司|ALLIED PROPERTIES HK|天安中国投资有限公司|新鸿基有限公司|Sun Hung Kai & Co Ltd|天安中國投資有限公司|聯合地產|Allied Properties (HK) Ltd.,686543430
Allied Sanitation Inc,,053394201
Almac Group Limited,BioClin Laboratories|Arran Chemical Company,232665674
"Aloysius Butler & Clark Associates, Inc.",Caspari McCormick,065729741
Alpargatas SAIC,ALPARGATAS SAIC|Alpargatas Textil S.A.|ALPARGATAS SAIC ADR,970001707
Alpha Technologies Group Inc,ALPHA TECHNOLOGIES GROUP INC HOUSTON TEX|SYNERCOM TECHNOLOGY INC|WALTHER FALTSYSTEME|ALPHA TECHNOLOGIES GROUP|Wakefield Thermal Solutions Inc|NavSemi Energy|SYNERCOM TECHNOLOGY,062121363
Alpharma Inc,AL PHARMA|COX PHARMA BELGIUM|ARTHUR H COX|BARRE NATIONAL|AL Laboratories|DUMEX ALPHARMA|AL PHARMA INC.,070954094
Alpine Shop Ltd.,,
Alps Motor Finance Ltd,Alps Motor Finance Ltd.,650767069
Alros Products Limited,,
Altadis SA,"800 JR Cigar Inc|Logista|Regie des Tabacs du Maroc|Altadis USA Inc|LPM Promodern|GLH|Altadis Maroc|Etinera|TABACALERA SA|Régie de Tabacs Marocains|Compania de Distribucion Integral Logista|Geopost Logistics|Tabacalera Cigars International|Loubet|ALTADIS FINANCE B.V.|Viaplus Networks SA|Nordipa SA|Habanos SA|ALTADIS, S.A.|Habanos S.A.|Compania de Distribucion Integral Logista SA|SEITA|Tabacalera S.A.|Altadis Finance BV|ALTADIS|Balkan Star",462133612
Altai Technologies Limited,,669368131
Altair International Corp.,ألتير العالمية|ألتير الدولية,079243780
Altaykhimprom Public Joint Stock Company,"OAO Altaykhimprom|Altaykhimprom Public Joint Stock Company|Altaykhimprom OAO|ОАО ""Алтайхимпром""|Altay Chemical Plant",365940373
Altech Advanced Materials AG,Youbisheng Green Paper AG,342052047
Alteer Corporation,,967042094
Altern Energy Ltd.,,645511036
Alternative Distribution Alliance,,804655645
Altman Lighting Incorporated,,001391820
Altman Vilandrie & Company,Altman Vilandrie & Company (AV&Co.),160499930
Altodigital Networks Ltd.,Fusion Business Systems Ltd.|Fusion Business Services Ltd.|ألتوديجيتال نيتوركس|ألتوديجيتال نتوركس|Platinum,210156058
Alubond,,
Aluminium Manufacturing Co of Nigeria PLC,Alumaco (Nigeria)|ALUMACO PLC,565492779
Amag Securities Corporation,,
Amana Cooperative Insurance,أمانة للتأمين التعاوني|Amana for Cooperative Insurance Company|شركة أمانة للتأمين التعاوني|Amana for Cooperative Insurance,557759334
AmeriGas Propane Inc,,933084212
American & Efird Inc,,
American Academy of Physician Assistants,AAPA|American Academy of Physicians Assistants,086359965
American Agricultural Insurance Company,,074373317
American Association for the Advancement of Science,American Association of the Advancement of Science|AAAS|Association américaine pour l'avancement de la science|الرابطة الأمريكية للعلوم المتقدمة|الجمعية الأميركية لتقدم العلوم,077795672
American College of Healthcare Executives,American College for Healthcare Executives|ACHE,144210093
American DG Energy Inc,EuroSite Power Inc,157438305
American Eagle Energy Corp.,Eternal Energy Corp|Golden Hope Resources Corp|Spyglass Area,808385277
American Fiber Systems Inc.,American Fiber Systems Holdings Corporation,840589936
American Financial Realty Trust,アメリカン・フィナンシャル・リアルティ・トラスト,361546703
American Healthcare Services Inc,,085029598
American Home Shield Corporation,AMERICAN HOME SHIELD CORP|HSA Home Warranty|AMERICAN HOME SHIELD,093090611
American Honda Finance Corporation,,068971654
American Hospitality Concepts Inc,,046958203
American House Co. Ltd.,,
American Humane Association,America Humane Association|AHA,069721769
American Investors Life Insurance Company,,073035776
American Laubscher Corporation,ALCprecision,001724111
American Medical Security Group Inc,AMERICAN MEDICAL SECURITY GROUP INC|United Wisconsin Services Inc.,035362495
American Metal & Technology Incorporated,Murray United Development Corporation|MURRAY UTD DEV CORP,194901047
American Mobile Dental Corp.,Tradepubz com Inc|American Mobile Dental Corporation|Tradepubz.com Inc,180582798
American Physical Society,aps,020408001
American Pistachio Growers,"WPA|APG|Western Pistachio Association (""WPA"")",017218342
American Productivity & Quality Center Inc.,,040403800
American Society of Agricultural and Biological Engineers,ASABE|American Society of Agricultural & Biological Engineers,069763084
American Soybean Association,The American Soybean Association|ASA,094385986
American Steamship Owners' Mutual Protection and Indemnity Association,American Club,075215558
American Urological Association,l'Association américaine d'urologie|AUA|Asociación Urológica Americana,080567605
American Wax Co Inc,,001321017
Americanas S/A,B2W Companhia Global de Varejo|Americanas SA|B2W Viagens|SouBarato|TV Sky Shop SA|Submarino Finance|Shopgram|Submarino.com LLC|B2W Companhia Global de Varejo (New)|Americanas.com|B2W Companhia Digital|Americanas S.A.|Shoptime|Submarino.com Limited|Toulon Empreendimentos e Participacoes Ltda|B2W - Companhia Global De Varejo|Submarino SA|B2W Companhia Global de Varejo (old),901169268
Ameristock/Ryan 1 Year Treasury ETF,,
Amigos De Tierra Company Limited,,
Amoca Nisseki CLAF Inc,AMOCO NISSEKI CLAF,138852335
